FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.166,166,"Prairie Horizon Agri-Energy, LLC",1664 East 100 Road,Phillipsburg,KS,67661,Corn,40,,
ethanol_plants_201904.167,167,Pratt Energy,10333 NE 30th Street,Pratt,KS,67124,Corn,55,,
ethanol_plants_201904.174,174,Reeve Agri-Energy,5665 S. Old Highway 83,Garden City,KS,67846,Corn/sorghum,12,,
ethanol_plants_201904.176,176,Russell Ethanol,1224 E 15th S,Russell,KS,67665,sorghum,55,,
ethanol_plants_201904.208,208,Western Plains Energy,3022 County Road 18,Campus,KS,67748,Corn,50,,
ethanol_plants_201904.43,43,"Commonwealth Agri-Energy, LLC",4895 Pemboke Road,Hopkinsville,KY,42241,Corn,33,,
ethanol_plants_201904.133,133,Parallel Products,1620 Bernheim Lane,Louisville,KY,40210,Beverage Waste,3,,
ethanol_plants_201904.30,30,Carbon Green Bioenergy,7795 Saddlebag Lake Road,Woodbury,MI,48849,Corn,55,,
ethanol_plants_201904.87,87,Green Plains Inc.,7025 Silberhorn Highway,Riga,MI,49228,Corn,57,,
ethanol_plants_201904.114,114,"Marysville Ethanol, LLC",2510 Busha Highway,Marysville,MI,48040,Corn,50,,
ethanol_plants_201904.143,143,POET Biorefining - Caro,1551 Empire Drive,Caro,MI,48723,Corn,53,,
ethanol_plants_201904.187,187,The Andersons Albion Ethanol LLC,26250 B Drive North,Albion,MI,49224,Corn,136,,
ethanol_plants_201904.7,7,Al-Corn Clean Fuel,797 5th Street,Claremont,MN,55924,Corn ,120,,
ethanol_plants_201904.16,16,Archer Daniels Midland Co.,400 W Erie Road,Marshall,MN,56258,Corn,40,,
ethanol_plants_201904.26,26,"Buffalo Lake Advanced Biofuels, LLC",514 West Yellowstone Trail,Buffalo Lake,MN,55314,Corn,18,,
ethanol_plants_201904.27,27,"Bushmills Ethanol, Inc.",17025 Hwy 12 NE,Atwater,MN,56209,Corn,65,,
ethanol_plants_201904.37,37,"Central MN Renewables, LLC/Green Biologics",17936 Heron Road,Little Falls,MN,56345,Corn,22,,
ethanol_plants_201904.40,40,Chippewa Valley Ethanol Co.,270 20th Street NW,Benson,MN,56215,Corn,50,,
ethanol_plants_201904.45,45,"Corn Plus, LLP",711 6th Avenue SE,Winnebago,MN,56098,Corn,40,,
ethanol_plants_201904.48,48,"DENCO II, LLC",227 South County Road 22,Morris,MN,56267,Corn,24,,
ethanol_plants_201904.66,66,Gevo,502 S Walnut Avenue,Luverne,MN,56156,Corn ,22,,
